graduate_id,graduation_year,age_at_graduation,gender,ethnicity,university_tier,major,gpa,internship_count,study_abroad,leadership_roles,industry,job_location,company_size,graduate_degree,technical_skills,remote_work_percent,years_experience,salary_starting,salary_current,job_satisfaction
GRAD_000015,2018,23,Male,White,Top 50,Mathematics,3.17,1,No,3,Consulting,Atlanta,Large,None,0.0,0.0,6,89973,126998,5.1
GRAD_000016,2021,24,Female,White,Top 100,Computer Science,3.02,3,No,0,Real Estate,Philadelphia,Large,None,2.0,20.0,3,126915,143180,7.5
GRAD_000017,2016,24,Male,Hispanic,Top 100,Engineering,4.0,3,No,2,Manufacturing,Austin,Small,Masters,4.0,0.0,8,99940,202238,8.3
GRAD_000018,2015,24,Other,White,Regional,Business,3.21,2,No,3,Non-profit,San Francisco,Large,None,,100.0,9,67882,108251,8.8
GRAD_000019,2020,23,Male,Asian,Regional,Liberal Arts,2.48,2,No,0,Real Estate,Dallas,Large,None,2.0,40.0,4,59926,79550,5.7
GRAD_000020,2017,22,Female,Other,Top 50,Data Science,3.08,2,No,1,Education,Dallas,Large,PhD,1.0,40.0,7,76812,123627,10.0
GRAD_000021,2019,21,Other,Hispanic,Top 100,Biology,3.03,0,No,1,Real Estate,Los Angeles,Large,Masters,5.0,20.0,5,86279,142486,7.5
GRAD_000022,2017,23,Male,White,Regional,Marketing,3.21,0,No,1,Non-profit,Austin,Fortune 500,None,0.0,40.0,7,58061,79456,5.4
GRAD_000023,2023,20,Male,White,Top 100,Psychology,2.78,1,No,1,Government,Chicago,Large,None,2.0,40.0,1,60244,68124,4.9
GRAD_000024,2018,21,Female,White,Regional,Business,3.11,0,Yes,2,Technology,Washington DC,Small,Masters,2.0,0.0,6,115863,192641,8.1
GRAD_000025,2019,21,Male,Asian,Top 50,Liberal Arts,3.39,2,No,1,Energy,Phoenix,Large,PhD,1.0,20.0,5,63254,99992,4.1
GRAD_000026,2017,24,Male,Other,Top 10,Liberal Arts,2.83,0,No,1,Non-profit,Denver,Fortune 500,None,2.0,60.0,7,59142,98548,6.8
GRAD_000027,2016,20,Male,White,Regional,Communications,3.71,0,No,1,Media,Los Angeles,Medium,None,0.0,100.0,8,69487,116302,10.0
GRAD_000028,2020,23,Female,Hispanic,Regional,Chemistry,3.31,0,No,4,Manufacturing,Phoenix,Small,None,1.0,60.0,4,58645,66578,5.2
GRAD_000029,2022,23,Female,White,Regional,Engineering,3.36,0,No,3,Technology,Atlanta,Startup,None,3.0,20.0,2,96331,111266,6.1
GRAD_000030,2018,23,Male,Black,Top 50,Mathematics,3.16,4,No,0,Energy,Boston,Small,Masters,2.0,40.0,6,129693,209467,5.2
GRAD_000031,2022,21,Male,Asian,Top 50,Communications,3.38,1,No,1,Healthcare,New York,Large,None,1.0,60.0,2,84462,94242,6.1
GRAD_000032,2015,20,Male,White,Regional,Business,3.57,3,No,0,Finance,Chicago,Large,None,3.0,40.0,9,98249,143957,7.7
GRAD_000033,2017,23,Male,Asian,Top 100,Data Science,3.38,0,No,3,Consulting,Boston,Fortune 500,Masters,5.0,0.0,7,155977,288589,4.7
GRAD_000034,2016,23,Female,Black,Regional,Data Science,3.7,3,Yes,0,Education,Philadelphia,Fortune 500,None,3.0,20.0,8,88381,132748,9.6
GRAD_000035,2019,23,Male,White,Top 50,Computer Science,3.35,1,Yes,0,Technology,Austin,Small,Masters,1.0,40.0,5,164954,249646,10.0
GRAD_000036,2023,22,Male,White,Regional,Finance,3.59,3,No,1,Consulting,San Francisco,Small,None,1.0,40.0,1,165721,179250,9.8
GRAD_000037,2018,20,Female,Other,Regional,Communications,3.45,1,No,2,Energy,Philadelphia,Medium,None,1.0,60.0,6,73216,90707,5.2
GRAD_000038,2020,21,Female,White,Regional,Engineering,2.57,0,No,2,Retail,Los Angeles,Startup,None,1.0,0.0,4,76462,88534,7.7
GRAD_000039,2023,23,Female,White,Top 100,Liberal Arts,2.99,2,Yes,1,Real Estate,Portland,Small,None,2.0,40.0,1,67079,71540,5.1
GRAD_000040,2018,21,Female,Other,Top 50,Marketing,3.01,3,Yes,0,Healthcare,Boston,Small,Masters,3.0,80.0,6,101328,148049,5.7
GRAD_000041,2018,21,Female,Asian,Top 50,Communications,3.02,2,No,0,Technology,Los Angeles,Medium,Masters,2.0,20.0,6,96329,156731,9.8
GRAD_000042,2016,20,Female,Asian,Top 50,Communications,2.92,2,No,1,Healthcare,Chicago,Medium,Masters,2.0,40.0,8,88343,152318,8.1
GRAD_000043,2018,23,Male,Asian,Regional,Finance,3.7,1,No,0,Technology,Portland,Small,None,2.0,60.0,6,139002,182112,9.4
GRAD_000044,2021,23,Male,Hispanic,Top 100,Business,3.83,1,No,1,Retail,Chicago,Small,JD,5.0,0.0,3,68666,117916,7.8
GRAD_000045,2022,24,Male,Hispanic,Top 100,Business,2.73,1,Yes,1,Real Estate,Atlanta,Large,MBA,1.0,0.0,2,67978,96602,5.8
GRAD_000046,2021,20,Male,White,Top 100,Liberal Arts,3.58,0,Yes,1,Consulting,San Francisco,Fortune 500,None,2.0,100.0,3,93666,117140,9.0
GRAD_000047,2015,24,Male,Black,Regional,Marketing,3.51,3,No,2,Technology,Seattle,Startup,None,2.0,20.0,9,122319,199926,8.2
GRAD_000048,2016,24,Female,White,Regional,Psychology,4.0,2,No,1,Media,San Francisco,Fortune 500,Masters,1.0,0.0,8,94487,132612,7.3
GRAD_000049,2021,24,Female,White,Top 10,Marketing,3.27,4,No,0,Media,Denver,Startup,None,,0.0,3,95975,116325,4.2
GRAD_000050,2023,22,Female,Hispanic,Regional,Engineering,2.76,2,No,1,Technology,Chicago,Medium,None,6.0,40.0,1,126872,144215,7.2
GRAD_000051,2021,22,Male,White,Top 100,Data Science,2.76,1,Yes,1,Finance,Atlanta,Medium,JD,3.0,0.0,3,100326,152618,7.1
GRAD_000052,2017,22,Male,Asian,Top 50,Computer Science,3.69,1,Yes,1,Technology,Dallas,Small,None,0.0,20.0,7,157630,252642,5.4
GRAD_000053,2016,21,Male,White,Regional,Chemistry,3.0,3,Yes,1,Manufacturing,Los Angeles,Small,None,3.0,100.0,8,72820,125577,7.2
GRAD_000054,2022,21,Female,Hispanic,Top 50,Liberal Arts,3.55,1,No,1,Technology,Chicago,Medium,None,,40.0,2,76483,88118,4.3
GRAD_000055,2016,22,Female,White,Top 100,Computer Science,3.29,2,Yes,1,Healthcare,Dallas,Small,None,3.0,80.0,8,120740,159213,7.4
GRAD_000056,2016,22,Female,White,Regional,Political Science,3.61,1,No,1,Energy,Denver,Large,MBA,2.0,20.0,8,73592,151645,5.7
GRAD_000057,2020,23,Male,Black,Top 100,Liberal Arts,2.76,1,No,0,Education,New York,Startup,None,,80.0,4,64245,83951,5.6
GRAD_000058,2017,21,Female,Hispanic,Regional,Engineering,3.32,0,Yes,1,Retail,Phoenix,Medium,None,0.0,60.0,7,69044,99860,1.5
GRAD_000059,2017,20,Male,White,Top 50,Engineering,3.58,1,,0,Retail,Austin,Small,MBA,3.0,20.0,7,101834,192447,8.1
GRAD_000060,2016,20,Male,White,Top 100,Engineering,3.54,0,,0,Healthcare,Los Angeles,Small,None,0.0,40.0,8,122515,163531,7.7
GRAD_000061,2023,21,Female,White,Top 10,Psychology,3.64,1,No,1,Transportation,Denver,Medium,MBA,2.0,,1,85907,115059,5.8
GRAD_000062,2016,23,Other,Hispanic,Top 100,Business,2.71,1,Yes,1,Education,Atlanta,Startup,None,3.0,60.0,8,53705,81032,5.9
GRAD_000063,2023,21,Female,White,Top 10,Business,3.26,1,No,1,Government,Miami,Fortune 500,Masters,1.0,20.0,1,80447,94570,6.2
GRAD_000064,2018,22,Male,Other,Top 100,Economics,3.29,0,Yes,0,Finance,Austin,Large,None,1.0,60.0,6,94627,142516,8.4
GRAD_000065,2022,20,Male,Black,Regional,Mathematics,3.81,2,No,2,Real Estate,Miami,Medium,MBA,1.0,40.0,2,83600,114721,6.5
GRAD_000066,2023,22,Female,Hispanic,Regional,Mathematics,4.0,2,No,0,Consulting,Phoenix,Medium,None,1.0,100.0,1,90648,94979,7.0
GRAD_000067,2020,22,Female,White,Top 100,Marketing,3.8,0,Yes,3,Consulting,Philadelphia,Medium,None,2.0,0.0,4,78975,102056,5.9
GRAD_000068,2022,24,Female,Other,Top 10,Economics,3.61,3,No,0,Consulting,Chicago,Fortune 500,None,3.0,40.0,2,147214,165199,6.6
GRAD_000069,2017,22,Female,Asian,Top 50,Engineering,3.46,0,No,0,Transportation,New York,Fortune 500,MBA,0.0,20.0,7,138760,242999,7.0
GRAD_000070,2019,23,Female,Asian,Top 50,Communications,3.31,1,,0,Media,Seattle,Small,None,3.0,0.0,5,77851,105674,7.8
GRAD_000071,2020,25,Female,White,Top 10,Business,3.74,1,,3,Finance,Miami,Startup,None,1.0,20.0,4,109607,126318,7.5
GRAD_000072,2022,22,Female,Asian,Top 50,Chemistry,3.37,3,Yes,0,Manufacturing,Chicago,Large,None,,60.0,2,89110,107514,6.6
GRAD_000073,2021,24,Female,White,Top 100,Mathematics,3.13,1,No,2,Education,Denver,Medium,None,2.0,0.0,3,61265,68305,5.7
GRAD_000074,2015,22,Female,White,Top 50,Engineering,3.28,0,No,0,Transportation,Los Angeles,Large,None,5.0,0.0,9,119507,184310,7.5
GRAD_000075,2018,21,Male,White,Regional,Business,3.06,2,No,1,Manufacturing,Chicago,Small,None,2.0,80.0,6,66539,101735,5.4
GRAD_000076,2022,22,Male,White,Top 10,Engineering,2.65,3,No,0,Retail,Seattle,Medium,Masters,1.0,60.0,2,131733,170124,8.7
GRAD_000077,2017,21,Male,White,Regional,Data Science,2.7,3,Yes,1,Education,Miami,Startup,None,2.0,40.0,7,81947,112461,7.8
GRAD_000078,2018,21,Male,White,Top 100,Communications,3.32,0,No,1,Government,Chicago,Large,None,3.0,80.0,6,64591,99874,9.2
GRAD_000079,2019,21,Male,White,Regional,Engineering,2.58,1,No,1,Energy,Phoenix,Medium,MD,,40.0,5,93032,167935,8.9
GRAD_000080,2016,22,Female,Hispanic,Top 100,Economics,2.9,4,No,1,Real Estate,Los Angeles,Large,None,1.0,,8,120303,168085,9.5
GRAD_000081,2018,23,Female,Asian,Top 100,Business,3.46,2,Yes,2,Non-profit,Atlanta,Large,MBA,2.0,,6,50274,94161,6.0
GRAD_000082,2022,20,Male,Black,Regional,Engineering,3.04,3,No,1,Non-profit,Dallas,Large,None,2.0,0.0,2,66220,77092,6.2
GRAD_000083,2022,22,Male,White,Top 50,Psychology,2.87,1,No,1,Energy,Philadelphia,Large,MBA,0.0,60.0,2,76719,102940,6.5
GRAD_000084,2020,22,Other,White,Top 100,Engineering,2.91,3,No,1,Non-profit,Portland,Small,None,2.0,20.0,4,69356,96198,6.8
GRAD_000085,2021,24,Male,Asian,Regional,Business,3.72,1,Yes,0,Real Estate,Denver,Large,None,1.0,20.0,3,96107,112793,5.9
GRAD_000086,2020,21,Female,White,Top 50,Political Science,3.59,4,No,1,Media,Portland,Fortune 500,None,1.0,0.0,4,64262,73780,6.1
GRAD_000087,2015,24,Male,White,Top 10,Engineering,3.01,1,No,0,Finance,Phoenix,Large,None,2.0,80.0,9,144690,238878,6.8
GRAD_000088,2021,21,Male,White,Regional,Data Science,3.47,2,No,2,Consulting,Los Angeles,Small,Masters,4.0,0.0,3,118880,169102,6.9
GRAD_000089,2023,21,Female,White,Regional,Liberal Arts,3.34,0,No,1,Consulting,Los Angeles,Small,Masters,1.0,40.0,1,83389,97246,3.1
GRAD_000090,2017,23,Female,White,Top 100,Mathematics,3.59,2,No,2,Manufacturing,Atlanta,Medium,None,0.0,80.0,7,78404,94749,7.2
GRAD_000091,2023,23,Female,Asian,Regional,Computer Science,3.75,0,No,1,Non-profit,Denver,Large,MBA,3.0,60.0,1,74151,103741,8.8
GRAD_000092,2023,22,Male,Asian,Top 100,Biology,2.7,4,No,1,Media,Denver,Small,Masters,1.0,80.0,1,59484,75659,3.5
GRAD_000093,2016,22,Male,Asian,Top 50,Chemistry,3.45,1,No,3,Healthcare,Miami,Fortune 500,None,2.0,,8,71940,112604,5.7
GRAD_000094,2023,22,Female,White,Top 100,Business,3.31,0,No,0,Energy,Boston,Large,PhD,4.0,60.0,1,95176,129650,4.6
GRAD_000095,2021,23,Male,White,Top 100,Political Science,3.68,0,,1,Finance,Boston,Medium,MBA,2.0,0.0,3,82600,131922,5.6
GRAD_000096,2019,22,Female,Black,Top 50,Computer Science,2.7,2,No,2,Consulting,Austin,Startup,None,3.0,,5,133404,167532,5.2
GRAD_000097,2018,22,Male,Hispanic,Top 100,Data Science,2.85,0,Yes,2,Consulting,Dallas,Large,None,3.0,40.0,6,119500,178901,6.5
GRAD_000098,2021,23,Male,Asian,Top 100,Psychology,3.33,3,Yes,1,Healthcare,Austin,Medium,None,1.0,60.0,3,92958,115466,5.9
GRAD_000099,2022,22,Male,Black,Regional,Engineering,3.2,1,,0,Government,Denver,Fortune 500,Masters,0.0,60.0,2,74526,91732,7.3
GRAD_000100,2015,23,Female,Asian,Top 100,Computer Science,3.42,2,No,0,Energy,Atlanta,Small,None,4.0,20.0,9,96466,138306,6.2
GRAD_000101,2020,26,Male,White,Regional,Business,2.73,1,,1,Non-profit,Chicago,Large,Masters,0.0,20.0,4,54196,74807,5.3
GRAD_000102,2021,20,Male,Hispanic,Top 10,Computer Science,3.72,2,,0,Retail,Denver,Large,None,3.0,20.0,3,121451,144327,5.7
GRAD_000103,2015,20,Female,White,Top 50,Engineering,3.36,3,Yes,0,Energy,Washington DC,Medium,None,1.0,20.0,9,152154,216884,8.3
GRAD_000104,2023,21,Other,Hispanic,Top 10,Computer Science,3.36,1,No,1,Non-profit,Chicago,Startup,None,2.0,20.0,1,99899,109233,6.7
GRAD_000105,2023,21,Female,White,Regional,Communications,3.25,3,Yes,1,Education,Washington DC,Small,None,2.0,40.0,1,51111,55914,8.4
GRAD_000106,2020,24,Female,Hispanic,Top 50,Business,2.9,3,No,0,Non-profit,Miami,Large,None,2.0,40.0,4,74114,90902,6.0
GRAD_000107,2016,20,Male,White,Top 100,Chemistry,3.03,1,No,1,Energy,Chicago,Large,Masters,1.0,80.0,8,74579,149689,4.0
GRAD_000108,2023,23,Female,Black,Regional,Computer Science,3.87,2,Yes,1,Consulting,Philadelphia,Startup,None,2.0,40.0,1,125030,129781,7.7
GRAD_000109,2022,20,Female,White,Top 100,Economics,3.33,2,No,0,Energy,Portland,Small,None,2.0,0.0,2,105790,122414,4.3
GRAD_000110,2015,22,Male,Asian,Top 10,Engineering,3.3,3,Yes,1,Energy,San Francisco,Fortune 500,None,1.0,20.0,9,210908,311741,6.6
GRAD_000111,2020,22,Male,White,Regional,Finance,3.6,4,Yes,0,Finance,Atlanta,Large,PhD,6.0,0.0,4,92192,154865,6.2
GRAD_000112,2016,23,Male,White,Top 50,Chemistry,3.02,1,No,1,Finance,Boston,Large,None,,0.0,8,103959,157854,7.0
GRAD_000113,2016,22,Male,White,Top 10,Engineering,3.45,1,No,1,Media,Los Angeles,Medium,Masters,1.0,20.0,8,101255,163692,7.4
GRAD_000114,2017,22,Male,White,Regional,Economics,3.35,1,No,2,Healthcare,Chicago,Medium,Masters,1.0,80.0,7,97587,150062,7.5
GRAD_000115,2019,20,Male,Asian,Top 10,Engineering,3.2,2,No,1,Government,Dallas,Medium,None,3.0,40.0,5,110319,144278,5.7
GRAD_000116,2022,25,Female,White,Regional,Marketing,3.13,0,No,2,Non-profit,Austin,Large,None,1.0,0.0,2,60707,64649,5.6
GRAD_000117,2015,22,Female,White,Top 100,Economics,3.53,0,No,1,Government,Denver,Medium,None,2.0,0.0,9,75230,107201,8.1
GRAD_000118,2021,23,Female,Other,Top 100,Business,3.49,1,Yes,2,Retail,Chicago,Medium,None,3.0,100.0,3,58296,73764,5.3
GRAD_000119,2023,24,Male,Hispanic,Regional,Engineering,3.03,2,Yes,0,Finance,Denver,Large,Masters,2.0,80.0,1,124289,154513,5.5
GRAD_000120,2021,22,Female,White,Top 10,Economics,3.46,0,No,1,Energy,San Francisco,Medium,Masters,2.0,0.0,3,157424,201898,6.8
GRAD_000121,2022,23,Female,White,Regional,Engineering,2.91,0,No,1,Finance,Los Angeles,Medium,None,1.0,0.0,2,119411,132148,7.7
GRAD_000122,2023,23,Male,Asian,Regional,Mathematics,3.06,2,No,0,Consulting,Seattle,Fortune 500,None,1.0,0.0,1,111901,120617,8.9
GRAD_000123,2021,20,Female,White,Regional,Liberal Arts,3.43,0,No,0,Retail,Philadelphia,Large,None,2.0,80.0,3,47673,58449,6.7
GRAD_000124,2021,23,Male,White,Top 100,Psychology,3.39,1,No,1,Retail,Washington DC,Large,PhD,1.0,0.0,3,61074,91344,4.9
GRAD_000125,2015,25,Female,Asian,Top 50,Biology,2.92,0,No,1,Technology,Dallas,Small,Masters,1.0,100.0,9,74857,118122,6.4
GRAD_000126,2020,25,Female,White,Top 10,Marketing,3.42,3,No,1,Energy,Seattle,Medium,Masters,,60.0,4,120332,160916,7.8
GRAD_000127,2019,24,Male,Asian,Top 100,Marketing,3.24,1,No,0,Retail,Miami,Medium,JD,2.0,0.0,5,67737,114035,6.2
GRAD_000128,2020,25,Male,White,Regional,Liberal Arts,3.67,2,Yes,2,Government,Chicago,Small,MBA,2.0,0.0,4,61865,106188,7.5
GRAD_000129,2019,20,Female,White,Top 10,Marketing,3.45,0,Yes,0,Manufacturing,New York,Large,MBA,3.0,80.0,5,109468,174140,5.2
GRAD_000130,2023,21,Male,White,Top 50,Finance,2.9,2,No,1,Non-profit,Portland,Medium,Masters,2.0,,1,82403,103677,8.1
GRAD_000131,2023,21,Female,White,Regional,Political Science,3.36,3,No,0,Education,San Francisco,Large,None,1.0,40.0,1,63213,65718,3.7
GRAD_000132,2016,27,Female,Asian,Top 50,Business,3.03,2,No,0,Healthcare,San Francisco,Fortune 500,None,4.0,60.0,8,138276,219383,5.4
GRAD_000133,2020,22,Male,Hispanic,Top 100,Computer Science,3.33,0,No,1,Government,Boston,Small,Masters,1.0,40.0,4,117530,161200,7.2
GRAD_000134,2023,20,Female,White,Regional,Business,3.44,6,No,1,Manufacturing,Phoenix,Large,None,3.0,80.0,1,76841,87891,5.5
GRAD_000135,2020,20,Male,Asian,Top 100,Mathematics,3.47,4,No,1,Finance,Philadelphia,Large,None,0.0,40.0,4,103630,126948,5.8
GRAD_000136,2022,22,Female,White,Regional,Computer Science,2.96,2,No,0,Consulting,New York,Large,None,2.0,40.0,2,170159,185454,7.9
GRAD_000137,2018,20,Female,White,Top 50,Engineering,3.09,2,No,3,Government,Boston,Medium,MBA,2.0,40.0,6,112498,190146,6.5
GRAD_000138,2018,25,Male,White,Regional,Engineering,3.32,1,,2,Energy,Denver,Small,None,1.0,40.0,6,104422,146626,5.2
GRAD_000139,2018,23,Female,Other,Top 10,Liberal Arts,3.15,1,No,0,Energy,Austin,Startup,MBA,2.0,60.0,6,101884,155240,8.2
GRAD_000140,2015,22,Female,Other,Regional,Biology,3.15,1,No,1,Transportation,Portland,Small,None,1.0,0.0,9,56878,89864,5.7
GRAD_000141,2023,20,Male,White,Top 10,Mathematics,2.93,3,No,0,Education,Seattle,Startup,None,2.0,20.0,1,95801,106519,7.8
GRAD_000142,2018,20,Female,Hispanic,Regional,Business,3.43,1,No,3,Media,Portland,Small,JD,1.0,20.0,6,58774,103510,6.8
GRAD_000143,2018,23,Male,Asian,Top 50,Finance,3.07,1,No,1,Consulting,Atlanta,Fortune 500,None,1.0,20.0,6,122845,175357,6.7
GRAD_000144,2022,22,Female,Hispanic,Top 100,Business,3.19,0,No,0,Energy,Washington DC,Fortune 500,None,0.0,60.0,2,103972,106273,7.1
GRAD_000145,2020,20,Female,Asian,Top 100,Finance,3.31,0,No,0,Education,Boston,Medium,None,0.0,40.0,4,72325,81023,5.3
GRAD_000146,2018,22,Male,Asian,Regional,Engineering,2.42,4,Yes,0,Technology,Atlanta,Medium,Masters,0.0,60.0,6,90493,127682,7.6
GRAD_000147,2023,22,Female,White,Top 10,Marketing,2.74,3,No,1,Non-profit,Dallas,Small,None,1.0,0.0,1,58285,62676,5.6
GRAD_000148,2022,23,Male,Hispanic,Regional,Political Science,3.86,2,No,2,Technology,San Francisco,Startup,None,2.0,60.0,2,130969,145378,8.9
GRAD_000149,2023,25,Male,White,Regional,Economics,2.75,2,No,0,Transportation,Boston,Medium,None,4.0,80.0,1,99986,115883,6.1
GRAD_000150,2021,20,Male,Asian,Top 100,Data Science,3.62,0,No,2,Energy,Los Angeles,Startup,None,2.0,0.0,3,141950,178658,8.4
GRAD_000151,2021,23,Male,Black,Top 100,Chemistry,3.61,3,No,1,Education,Denver,Large,None,0.0,0.0,3,62205,68020,4.2
GRAD_000152,2018,21,Female,Asian,Regional,Communications,3.29,4,No,1,Media,Portland,Large,Masters,3.0,,6,64070,102727,6.3
GRAD_000153,2016,23,Female,White,Regional,Psychology,3.82,1,No,1,Energy,San Francisco,Large,MBA,0.0,40.0,8,115091,184953,9.1
GRAD_000154,2016,22,Male,White,Regional,Computer Science,3.59,4,Yes,1,Consulting,Atlanta,Startup,MBA,2.0,20.0,8,103944,223231,6.7
GRAD_000155,2021,23,Female,Asian,Top 50,Liberal Arts,3.37,0,No,3,Manufacturing,Seattle,Large,None,2.0,100.0,3,68668,81390,5.6
GRAD_000156,2016,20,Female,White,Regional,Business,3.44,3,No,1,Non-profit,Chicago,Large,None,,40.0,8,63309,92239,6.7
GRAD_000157,2023,23,Female,Asian,Top 100,Computer Science,3.63,2,No,2,Manufacturing,Washington DC,Startup,None,2.0,20.0,1,120413,123873,6.1
GRAD_000158,2021,22,Female,White,Regional,Finance,3.44,1,No,2,Education,Phoenix,Small,None,2.0,80.0,3,57981,71053,3.4
GRAD_000159,2017,24,Male,White,Regional,Liberal Arts,3.6,1,Yes,1,Energy,Phoenix,Medium,None,3.0,40.0,7,54001,82273,5.9
GRAD_000160,2018,24,Female,Black,Top 50,Mathematics,3.86,2,Yes,2,Transportation,Miami,Large,MD,1.0,0.0,6,95341,178025,7.7
GRAD_000161,2021,22,Male,White,Top 100,Computer Science,3.74,1,No,1,Energy,Seattle,Fortune 500,PhD,8.0,0.0,3,146584,218696,6.9
GRAD_000162,2022,23,Male,White,Top 100,Mathematics,3.19,0,No,1,Retail,Chicago,Small,None,3.0,20.0,2,72833,90676,7.3
GRAD_000163,2022,23,Male,White,Top 50,Economics,3.0,1,Yes,0,Healthcare,New York,Medium,Masters,0.0,20.0,2,114799,150512,3.8
GRAD_000164,2020,24,Male,Asian,Top 50,Data Science,3.32,2,,3,Media,Boston,Medium,None,1.0,0.0,4,102869,128781,9.3
GRAD_000165,2016,24,Male,White,Top 10,Liberal Arts,4.0,1,No,2,Energy,New York,Medium,JD,2.0,20.0,8,114414,201263,4.4
GRAD_000166,2022,20,Female,Asian,Regional,Finance,2.89,2,No,0,Manufacturing,Washington DC,Fortune 500,Masters,0.0,40.0,2,106566,131064,7.2
GRAD_000167,2022,22,Female,White,Top 100,Engineering,3.23,3,,0,Finance,Chicago,Medium,None,1.0,100.0,2,116795,128204,7.0
GRAD_000168,2022,20,Female,Asian,Top 10,Economics,3.25,3,No,4,Finance,Austin,Large,None,0.0,80.0,2,147849,144685,9.4
GRAD_000169,2016,21,Male,Hispanic,Top 100,Engineering,3.0,2,No,0,Consulting,Miami,Large,None,,20.0,8,125300,172900,7.6
GRAD_000170,2021,21,Female,White,Top 100,Engineering,3.34,1,No,0,Finance,Atlanta,Small,None,4.0,40.0,3,108960,136608,7.5
GRAD_000171,2023,23,Female,Asian,Top 100,Economics,3.1,2,No,1,Technology,New York,Medium,None,1.0,0.0,1,149909,152571,9.6
GRAD_000172,2017,22,Female,White,Top 10,Engineering,3.28,1,Yes,2,Government,Dallas,Large,None,3.0,20.0,7,108245,137706,5.9
GRAD_000173,2021,22,Male,White,Top 50,Business,3.24,0,No,0,Retail,Los Angeles,Startup,Masters,4.0,20.0,3,81548,125115,7.3
GRAD_000174,2017,23,Male,White,Top 10,Communications,3.31,3,No,0,Retail,Dallas,Large,MBA,2.0,20.0,7,63058,108120,6.1
GRAD_000175,2018,23,Male,Asian,Top 10,Computer Science,2.96,1,No,1,Consulting,San Francisco,Fortune 500,None,3.0,20.0,6,236508,362704,6.3
GRAD_000176,2019,22,Female,White,Top 100,Mathematics,3.12,2,Yes,0,Media,Dallas,Fortune 500,None,0.0,40.0,5,63358,71437,4.1
GRAD_000177,2023,23,Male,Asian,Top 100,Economics,3.24,2,Yes,0,Energy,Miami,Large,None,3.0,80.0,1,97777,111824,7.8
GRAD_000178,2015,23,Male,White,Regional,Data Science,3.29,0,No,0,Media,New York,Startup,MBA,4.0,80.0,9,114160,214332,10.0
GRAD_000179,2023,25,Female,White,Top 50,Engineering,3.3,0,Yes,0,Energy,San Francisco,Medium,None,0.0,0.0,1,180164,175665,6.0
GRAD_000180,2022,22,Female,White,Regional,Business,3.51,1,Yes,1,Consulting,Los Angeles,Fortune 500,None,0.0,0.0,2,106921,113057,5.6
GRAD_000181,2018,21,Male,Asian,Top 50,Psychology,2.92,1,No,2,Non-profit,Seattle,Large,Masters,1.0,40.0,6,59672,105379,10.0
GRAD_000182,2018,22,Male,White,Top 100,Chemistry,3.21,0,No,0,Technology,Chicago,Medium,MBA,2.0,80.0,6,96828,164081,8.3
GRAD_000183,2019,21,Female,Black,Top 100,Marketing,2.97,1,No,0,Consulting,Miami,Small,Masters,3.0,40.0,5,78654,112760,6.7
